"","Allocated.Time","Web.or.Phone","Answered.by.specialist","Holiday.Type","Accom.type","Dep.Airport","Lead.Time","Destination","Duration","Adults","Children","Infants","Transport.Type","Answered.Q","Notes.Completed","Title","Enquiry.Comments","Booked.Status","EnquiryYear","EnquiryMonth","EnquiryDay","EnquiryWeekday","DepYear","DepMonth","DepDay","DepWeekday","Enquiry.Timecat","Enquiry.Time_class","DepartureSeason","Gender"
"695","Slow","WEB","0","A","grade1","Lon Heathrow",72," AB",14,10,3,0,"A","NO","NO","Mr","NO","0","2017","3",24,"Friday","2018","8",7,"Tuesday","Business_Hour","afternoon","summer","M"
"696","Slow","WEB","1","A","grade2","BH",32," CC City",5,4,0,0,"None Required","NO","NO","Mr","NO","0","2018","5",18,"Friday","2018","12",29,"Saturday","Business_Hour","afternoon","winter","M"
"697","Slow","WEB","1","A","grade1","Lon Gat",49," JH Area",14,7,3,0,"A","NO","NO","Mr","NO","0","2017","4",21,"Friday","2018","3",28,"Wednesday","Closed","morning","spring","M"
"698","Slow","WEB","1","E","grade2","Lon Gat",37," AC",17,2,1,1,"A","NO","NO","Mr","NO","0","2017","8",1,"Tuesday","2018","4",16,"Monday","Business_Hour","morning","spring","M"
"699","Slow","WEB","0","B","grade2","MCH",81," AB",14,3,1,0,"B","YES","YES","Mr","NO","0","2018","1",27,"Saturday","2019","8",14,"Wednesday","Business_Hour","morning","summer","M"
"700","Slow","WEB","0","E","None","MCH",59," AB",11,4,1,0,"A","NO","NO","Mr","NO","0","2018","5",30,"Wednesday","2019","7",18,"Thursday","Business_Hour","afternoon","summer","M"
"701","Slow","WEB","0","A","grade1","Lon All",47," JH Area",14,2,2,0,"None Required","YES","YES","Mr","NO","0","2017","9",8,"Friday","2018","8",4,"Saturday","Closed","morning","summer","M"
"702","Slow","WEB","1","A","grade1","Lon All",48," JH Area",14,4,2,0,"A","NO","NO","Mr","NO","0","2017","11",14,"Tuesday","2018","10",17,"Wednesday","Business_Hour","afternoon","fall","M"
"703","Slow","WEB","0","A","grade2","Lon All",78," AC",14,3,0,0,"B","NO","NO","Mr","NO","0","2018","1",26,"Friday","2019","7",26,"Friday","Business_Hour","afternoon","summer","M"
"704","Slow","WEB","1","A","grade1","Lon All",34," JH Area",14,12,1,0,"A","YES","YES","Mr","YES","0","2018","9",9,"Sunday","2019","5",6,"Monday","Business_Hour","morning","spring","M"
"705","Slow","WEB","1","A","grade2","MCH",33," AB",14,2,0,0,"None Required","NO","NO","Mr","NO","0","2017","3",12,"Sunday","2017","11",2,"Thursday","Business_Hour","morning","fall","M"
"706","Slow","WEB","1","A","grade2","MCH",63," AC",14,2,0,0,"B","NO","NO","Mr","NO","0","2018","5",21,"Monday","2019","8",7,"Wednesday","Business_Hour","afternoon","summer","M"
"707","Slow","WEB","1","A","grade2","MCH",42," AA Resort",10,3,0,0,"None Required","YES","NO","Mr","NO","0","2017","1",29,"Sunday","2017","11",25,"Saturday","Closed","morning","fall","M"
"708","Slow","WEB","1","A","grade3","MCH",68," AC",14,3,1,0,"A","NO","NO","Mr","NO","0","2017","4",19,"Wednesday","2018","8",8,"Wednesday","Business_Hour","morning","summer","M"
"709","Slow","WEB","0","A","grade1","MCH",63," AA Resort",14,9,2,0,"A","YES","YES","Mr","NO","0","2017","5",22,"Monday","2018","8",9,"Thursday","Business_Hour","morning","summer","M"
"710","Slow","WEB","1","A","grade1","Lon All",8," AC",10,3,0,0,"A","YES","YES","Mr","NO","0","2018","5",19,"Saturday","2018","7",14,"Saturday","Business_Hour","morning","summer","M"
"711","Slow","WEB","1","A","grade1","Lon All",121," AC",14,5,1,0,"B","NO","NO","Mr","NO","0","2017","4",21,"Friday","2019","8",12,"Monday","Business_Hour","morning","summer","M"
"712","Slow","WEB","1","A","grade1","MCH",120," AC",14,3,1,0,"A","YES","YES","Mr","NO","0","2017","5",31,"Wednesday","2019","9",16,"Monday","Business_Hour","morning","fall","M"
"713","Slow","WEB","1","OTHER","grade2","Lon Heathrow",15,"OTHER",7,3,0,0,"B","NO","NO","Mr","NO","0","2017","8",1,"Tuesday","2017","11",13,"Monday","Business_Hour","afternoon","fall","M"
"714","Slow","WEB","1","OTHER","grade2","GG",44," DC Drive",7,2,1,0,"None Required","YES","NO","Mr","YES","0","2018","7",11,"Wednesday","2019","5",15,"Wednesday","Business_Hour","morning","spring","M"
"715","Slow","WEB","0","A","grade1","Lon All",63," AC",21,5,1,0,"A","YES","NO","Mr","NO","0","2017","1",9,"Monday","2018","3",26,"Monday","Business_Hour","morning","spring","M"
"716","Slow","WEB","1","E","grade2","Lon Heathrow",21," LH",10,3,0,0,"A","NO","NO","Mr","NO","0","2017","2",20,"Monday","2017","7",19,"Wednesday","Business_Hour","afternoon","summer","M"
"717","Slow","WEB","0","A","grade2","OTHER",54," AB",14,2,0,0,"B","YES","NO","Mr","YES","0","2018","7",17,"Tuesday","2019","8",2,"Friday","Business_Hour","morning","summer","M"
"718","Slow","WEB","1","A","grade1","Lon Gat",26," PP Area",7,4,0,0,"A","YES","YES","Mr","YES","0","2018","11",18,"Sunday","2019","5",25,"Saturday","Closed","morning","spring","M"
"719","Slow","WEB","0","A","grade1","Lon All",29," AC",12,5,0,0,"A","NO","NO","Mr","NO","0","2017","1",15,"Sunday","2017","8",7,"Monday","Business_Hour","afternoon","summer","M"
"720","Slow","WEB","0","B","grade2","OTHER",22," AB",7,3,0,0,"A","YES","YES","Mr","NO","0","2017","10",18,"Wednesday","2018","3",20,"Tuesday","Business_Hour","morning","spring","M"
"721","Slow","WEB","1","A","grade1","Lon All",88," AB",13,2,0,0,"None Required","YES","YES","Mr","NO","0","2017","9",2,"Saturday","2019","5",6,"Monday","Business_Hour","morning","spring","M"
"722","Slow","WEB","1","A","grade2","Lon All",34," PP Area",14,6,4,0,"B","YES","YES","Mr","YES","0","2018","8",16,"Thursday","2019","4",7,"Sunday","Closed","morning","spring","M"
"723","Slow","WEB","1","A","grade2","BH",39," AA Resort",14,3,1,0,"B","YES","NO","Mr","YES","0","2018","11",4,"Sunday","2019","8",7,"Wednesday","Business_Hour","morning","summer","M"
"724","Slow","WEB","1","B","grade2","Lon All",10," CC City",14,2,0,0,"B","NO","NO","Mr","NO","0","2017","6",29,"Thursday","2017","9",3,"Sunday","Business_Hour","morning","fall","M"
"725","Slow","WEB","0","A","grade1","Lon Gat",116," AC",21,4,4,0,"A","YES","YES","Mr","NO","0","2017","10",11,"Wednesday","2020","1",2,"Thursday","Closed","morning","winter","M"
"726","Slow","WEB","1","B","grade2","OTHER",40," AB",14,3,0,0,"A","NO","NO","Mr","NO","0","2017","10",24,"Tuesday","2018","8",3,"Friday","Closed","morning","summer","M"
"727","Slow","WEB","1","A","grade3","MCH",16,"OTHER",6,2,0,0,"B","NO","NO","Mr","NO","0","2018","4",7,"Saturday","2018","7",27,"Friday","Closed","morning","summer","M"
"728","Slow","WEB","1","A","grade2","MCH",19," AB",14,2,0,0,"None Required","YES","YES","Mr","NO","0","2018","5",2,"Wednesday","2018","9",11,"Tuesday","Business_Hour","afternoon","fall","M"
"729","Slow","WEB","1","A","grade2","Lon Heathrow",3,"OTHER",10,4,0,0,"A","YES","NO","Mr","YES","0","2018","7",25,"Wednesday","2018","8",16,"Thursday","Business_Hour","afternoon","summer","M"
"730","Slow","WEB","1","OTHER","grade2","OTHER",99," DC Drive",14,4,1,0,"A","NO","NO","Mr","YES","0","2018","10",7,"Sunday","2020","9",3,"Thursday","Business_Hour","morning","fall","M"
"731","Slow","WEB","1","A","grade2","ED",46," DC Drive",14,4,0,0,"A","YES","NO","Mr","YES","0","2018","8",5,"Sunday","2019","6",26,"Wednesday","Business_Hour","afternoon","summer","M"
"732","Slow","WEB","1","A","grade1","MCH",49," AB",16,7,2,1,"A","YES","NO","Mr","YES","0","2018","10",20,"Saturday","2019","9",26,"Thursday","Closed","morning","fall","M"
"733","Slow","WEB","1","A","grade3","Lon All",73," AB",14,2,1,0,"None Required","YES","NO","Mr","YES","0","2018","11",9,"Friday","2020","4",2,"Thursday","Closed","morning","spring","M"
"734","Slow","WEB","1","A","grade1","MCH",31," AC",14,4,0,0,"A","YES","NO","Mr","NO","0","2017","1",29,"Sunday","2017","9",8,"Friday","Closed","morning","fall","M"
"735","Slow","WEB","0","A","grade1","Lon All",26," AB",16,3,1,0,"A","YES","YES","Mr","NO","0","2018","1",24,"Wednesday","2018","7",24,"Tuesday","Business_Hour","afternoon","summer","M"
"736","Slow","WEB","0","OTHER","grade2","MCH",48," DC Drive",7,4,0,0,"B","YES","NO","Mr","YES","0","2018","8",27,"Monday","2019","7",28,"Sunday","Business_Hour","morning","summer","M"
"737","Slow","WEB","1","A","grade2","MCH",51," DC Drive",21,6,0,0,"None Required","YES","YES","Mr","YES","0","2018","9",19,"Wednesday","2019","9",14,"Saturday","Business_Hour","morning","fall","M"
"738","Slow","WEB","1","A","grade1","Lon All",74," AC",14,2,0,0,"B","YES","NO","Mr","NO","0","2017","1",4,"Wednesday","2018","6",7,"Thursday","Business_Hour","morning","summer","M"
"739","Slow","WEB","0","A","grade2","GG",3," AC",10,2,0,0,"B","YES","YES","Mr","NO","0","2017","5",27,"Saturday","2017","6",12,"Monday","Business_Hour","afternoon","summer","M"
"740","Slow","WEB","0","A","grade1","MCH",100," JH Area",14,3,2,0,"A","NO","NO","Mr","NO","0","2017","9",15,"Friday","2019","8",13,"Tuesday","Business_Hour","afternoon","summer","M"
